ano;mes;hom_doloso;lesao_corp_morte;latrocinio;cvli;hom_por_interv_policial;letalidade_violenta;tentat_hom;lesao_corp_dolosa;estupro;hom_culposo;lesao_corp_culposa;roubo_transeunte;roubo_celular;roubo_em_coletivo;roubo_rua;roubo_veiculo;roubo_carga;roubo_comercio;roubo_residencia;roubo_banco;roubo_cx_eletronico;roubo_conducao_saque;roubo_apos_saque;roubo_bicicleta;outros_roubos;total_roubos;furto_veiculos;furto_transeunte;furto_coletivo;furto_celular;furto_bicicleta;outros_furtos;total_furtos;sequestro;extorsao;sequestro_relampago;estelionato;apreensao_drogas;posse_drogas;trafico_drogas;apreensao_drogas_sem_autor;recuperacao_veiculos;apf;aaapai;cmp;cmba;ameaca;pessoas_desaparecidas;encontro_cadaver;encontro_ossada;pol_militares_mortos_serv;pol_civis_mortos_serv;registro_ocorrencias;fase;data;trimestre;semestre;total_crimes_patrimonio;tem_cvli
1991;1;657;0.0;15;0.0;0.0;672;162;3051;0.0;0.0;0.0;967;0.0;381;1348;1174;63;350;188;37;0.0;0.0;0.0;0.0;158;3318;2009;1147;0.0;0.0;0.0;3561;6717;;;;;133;;;;872;;;;;;;217;;;;;3;1991-01-01;1;1;10035;0
1991;2;732;0.0;17;0.0;0.0;749;175;3421;0.0;0.0;0.0;963;0.0;432;1395;1097;64;357;171;35;0.0;0.0;0.0;0.0;142;3261;1850;1066;0.0;0.0;0.0;3309;6225;;;;;127;;;;751;;;;;;;209;;;;;3;1991-02-01;1;1;9486;0
1991;3;713;0.0;25;0.0;0.0;738;216;3613;0.0;0.0;0.0;963;0.0;422;1385;1265;71;443;191;43;0.0;0.0;0.0;0.0;131;3529;2084;1062;0.0;0.0;0.0;3573;6719;;;;;80;;;;789;;;;;;;188;;;;;3;1991-03-01;1;1;10248;0
1991;4;634;0.0;20;0.0;0.0;654;200;3211;0.0;0.0;0.0;1186;0.0;354;1540;1415;81;425;199;36;0.0;0.0;0.0;0.0;112;3808;2085;1195;0.0;0.0;0.0;3290;6570;;;;;133;;;;787;;;;;;;140;;;;;3;1991-04-01;2;1;10378;0
1991;5;650;0.0;20;0.0;0.0;670;146;3051;0.0;0.0;0.0;931;0.0;335;1266;1449;82;553;231;27;0.0;0.0;0.0;0.0;147;3755;2185;723;0.0;0.0;0.0;3546;6454;;;;;163;;;;845;;;;;;;78;;;;;3;1991-05-01;2;1;10209;0
1991;6;647;0.0;14;0.0;0.0;661;201;2977;0.0;0.0;0.0;831;0.0;342;1173;1354;82;518;178;37;0.0;0.0;0.0;0.0;81;3423;1992;673;0.0;0.0;0.0;3519;6184;;;;;157;;;;802;;;;;;;111;;;;;3;1991-06-01;2;1;9607;0
1991;7;558;0.0;14;0.0;0.0;572;201;2784;0.0;0.0;0.0;797;0.0;308;1105;1365;82;496;186;25;0.0;0.0;0.0;0.0;94;3353;1978;700;0.0;0.0;0.0;3604;6282;;;;;203;;;;870;;;;;;;126;;;;;3;1991-07-01;3;2;9635;0
1991;8;557;0.0;11;0.0;0.0;568;209;3134;0.0;0.0;0.0;813;0.0;299;1112;1347;71;498;189;29;0.0;0.0;0.0;0.0;88;3334;1835;794;0.0;0.0;0.0;3641;6270;;;;;215;;;;809;;;;;;;79;;;;;3;1991-08-01;3;2;9604;0
1991;9;542;0.0;19;0.0;0.0;561;146;3026;0.0;0.0;0.0;805;0.0;281;1086;1353;91;473;199;12;0.0;0.0;0.0;0.0;90;3304;1993;810;0.0;0.0;0.0;3460;6263;;;;;179;;;;756;;;;;;;71;;;;;3;1991-09-01;3;2;9567;0
1991;10;613;0.0;21;0.0;0.0;634;200;3482;0.0;0.0;0.0;834;0.0;328;1162;1470;83;561;228;16;0.0;0.0;0.0;0.0;107;3627;1999;862;0.0;0.0;0.0;3621;6482;;;;;184;;;;818;;;;;;;95;;;;;3;1991-10-01;4;2;10109;0
